,block,r2_score,rmse,Cluster
0,block_104,0.5515429196303703,4.992879179934295,3
1,block_110,0.5074085121794476,5.620005958953804,3
2,block_13,0.8135266280804612,3.5432838889585634,3
3,block_15,0.7585151521362927,4.223527579864247,3
4,block_18,0.43904956772541803,5.0998372677226245,3
5,block_19,0.8451677557919539,3.5060712448763005,3
6,block_20,0.6158536511771604,4.65554723270876,3
7,block_22,0.8134385399967289,3.7399224087742504,3
8,block_23,0.6043215208717132,5.103963667242175,3
9,block_25,0.809058601482228,3.877375243407636,3
10,block_26,-0.1546528233741531,7.134222914430277,3
11,block_27,0.578675394385365,5.172532827422346,3
12,block_31,0.4628000509379703,5.601061234059009,3
13,block_33,0.8131454297654381,3.878494208804508,3
14,block_36,0.7528883673240031,4.041471919340023,3
15,block_37,0.7592530146913743,4.039482791029439,3
16,block_38,0.7493877211296671,4.4884536489485285,3
17,block_39,0.6612431279300857,4.809292499526469,3
18,block_4,0.8569537573315107,3.658102037646728,3
19,block_40,0.7815517807920149,3.929522867323682,3
20,block_41,0.444663343276428,5.624363858135398,3
21,block_42,0.7690391415593333,3.9167599952655823,3
22,block_49,0.5438583045436516,4.775584497676251,3
23,block_51,0.736194367413582,3.8957485147629813,3
24,block_54,0.8238123074724248,3.4427999062785597,3
25,block_58,0.7854741463650154,3.6987961781538483,3
26,block_59,0.6426571569989648,4.613560039345273,3
27,block_60,0.8348576546599286,3.7567887273321503,3
28,block_61,0.6649359824937158,4.585824264475283,3
29,block_62,0.8182230427985286,3.730895511637949,3
30,block_65,0.7925880479129217,3.833861880970654,3
31,block_67,0.8599799592376763,3.575492744986743,3
32,block_69,0.8512111384474041,3.601501881887629,3
33,block_70,0.6761356758771364,4.35207525294681,3
34,block_71,0.8033565779363074,3.829712806429213,3
35,block_72,0.658125043706947,4.667378429693179,3
36,block_74,0.6563605397991155,4.482671797528969,3
37,block_75,0.7149328958538768,3.8773254580921557,3
38,block_76,0.7482620510600332,3.9369999406921297,3
39,block_77,0.7866577290278998,4.05054699166808,3
40,block_79,0.6648195735512796,4.675427504332615,3
41,block_80,0.8402801933231739,3.2751196565029073,3
42,block_81,0.80364657003342,3.697841098554676,3
43,block_82,0.6841725413715374,4.196243539999199,3
44,block_85,0.7843920254355568,3.87321625565217,3
45,block_88,0.5282767179927118,5.0640238213991,3
46,block_0,-0.6156067728121164,18.701988358544618,1
47,block_1,-0.2849252276249119,17.91428153891073,1
48,block_2,0.1101435296100749,12.793423774546785,1
49,block_10,0.6860366314120359,6.354143684488355,2
50,block_11,0.7710966563822407,5.258161167217685,2
51,block_111,-17.046097844212518,15.854220768340603,2
52,block_12,0.769577883249453,4.863016811321964,2
53,block_24,0.8247057122917263,3.9921430159595115,2
54,block_28,0.4665283123511149,6.508952380650924,2
55,block_29,0.5608229499891487,5.199812371448103,2
56,block_3,0.8171627053305404,4.263196659782554,2
57,block_30,0.1878831214780765,7.573275476728706,2
58,block_34,0.7777365306038013,5.313592911936135,2
59,block_5,0.7074171583071762,5.795068134614748,2
60,block_68,0.6210130187591605,6.506732240256915,2
61,block_8,0.6268222618090067,7.8766022681491314,2
62,block_9,0.8463755289976762,4.063050025486445,2
63,block_100,-0.7911974522352416,8.151461473018859,4
64,block_101,-0.6458390105256866,7.92635871533758,4
65,block_102,-5.485454664385052,11.255768227808648,4
66,block_103,-4.577809449364386,10.2581729158859,4
67,block_105,-1.2545401034415562,8.286562030988618,4
68,block_106,-2.877374046947584,9.206165164589919,4
69,block_107,-0.570169549828746,7.258148481799086,4
70,block_108,-2.8852797583633274,9.313391837911304,4
71,block_32,-0.115953746880056,6.685175351354329,4
72,block_43,0.1637260581053469,6.103340239535566,4
73,block_44,0.43796900865458865,5.15035872730562,4
74,block_45,0.44795034070787654,5.20661284552161,4
75,block_46,-0.38386779269493254,7.4708231016240525,4
76,block_47,0.6457886787620475,4.632863123101574,4
77,block_52,0.4614400898731241,4.888247529382916,4
78,block_53,0.35821134554370593,6.092322349689373,4
79,block_55,-1.3094960923900199,8.520353715378803,4
80,block_56,0.5459805949706333,4.757187752452165,4
81,block_64,0.7112286903976353,4.149734016236556,4
82,block_78,0.3981206158220184,5.955419853188022,4
83,block_86,0.42992362581514687,4.963646573527474,4
84,block_87,0.46467495608687825,5.562271046950267,4
85,block_90,-0.8071883617515234,8.315999018142962,4
86,block_91,-4.924344642448689,10.679645767402528,4
87,block_92,-2.902501219743911,14.358791479709463,4
88,block_93,-2.310512170075212,12.569068705805337,4
89,block_94,-2.5536984325491163,8.945126084965615,4
90,block_95,-0.8289943369969728,8.325117854547342,4
91,block_96,-3.8454527124440867,10.303838084327822,4
92,block_97,-1.8145395198065946,9.087024448993656,4
93,block_98,-2.3997221019340946,8.986194791121218,4
94,block_99,-0.8540494593016164,7.692260482391244,4
