,block,r2_score,rmse,Cluster
0,block_104,0.49459277288013703,5.300432866639901,3
1,block_13,0.4872548653946608,5.875547093206934,3
2,block_15,0.46296167544786493,6.298440502715799,3
3,block_17,0.4206091065372365,7.545142052464784,3
4,block_18,0.6333234667086609,4.1232116958063685,3
5,block_19,0.220418953827487,7.8672086485320145,3
6,block_20,0.15807008872099615,6.8922393623201685,3
7,block_22,0.31706818345524246,7.155505160638916,3
8,block_23,0.6812407418988315,4.581078808194789,3
9,block_25,0.41881598708579115,6.764638813553687,3
10,block_26,0.7213867488271686,3.5044659788547925,3
11,block_27,0.596048214352515,5.064768625885488,3
12,block_31,0.6845465851310815,4.292101224838583,3
13,block_33,0.33661690886719886,7.30791494101309,3
14,block_35,0.5369594181577952,5.4812465629575176,3
15,block_36,0.3543515521707583,6.532674602723898,3
16,block_37,0.6132349218181763,5.119988204759345,3
17,block_38,0.4367175315403,6.729126445866196,3
18,block_39,0.573945722172756,5.393486544021208,3
19,block_4,0.3644099401934845,7.710918913092606,3
20,block_40,0.5611585431316852,5.569540805489956,3
21,block_41,0.6802810379827058,4.267558029693332,3
22,block_42,0.5106196872758857,5.701393482280233,3
23,block_48,0.5211444349871923,5.9472001926877835,3
24,block_49,0.6993621161114985,3.877024098229948,3
25,block_51,0.5953847454518639,4.824696598195919,3
26,block_54,0.39887242453888616,6.359270870379292,3
27,block_57,-0.4884127317720146,5.679655366687257,3
28,block_59,0.7113726092316949,4.146316063726062,3
29,block_60,0.45545252245634826,6.821901168762889,3
30,block_61,-1.386840007821177,7.983076022815454,3
31,block_62,0.5188927194073063,6.069663800522382,3
32,block_63,0.5262225380427368,6.343181932479282,3
33,block_67,0.07767045252296301,9.176643539877372,3
34,block_69,0.17796784265652854,8.465309466115821,3
35,block_71,-0.478396922361751,8.686555229402234,3
36,block_75,0.43084650372264355,5.478648133398628,3
37,block_76,0.6079793054745557,4.912986382849864,3
38,block_77,-0.6613291993856119,8.08345756417023,3
39,block_79,0.713838794032162,4.320036154583632,3
40,block_80,0.5096823324410371,5.738343672818187,3
41,block_81,0.3406320256074976,6.776304663967822,3
42,block_83,0.6281491412710305,5.391813440871327,3
43,block_84,-0.38793631020127695,9.81204390938413,3
44,block_89,-2.3292840979368843,7.430295908162267,3
45,block_1,-1.378112967541807,24.371188447153266,1
46,block_2,-0.9822943099717727,19.094613482923396,1
47,block_11,0.010425328007579893,10.93281780730174,2
48,block_111,-5.252793287978114,9.332334208164552,2
49,block_12,0.05712761760753293,6.055395252615693,2
50,block_14,0.049915953902399446,8.926350212214048,2
51,block_24,0.178969215128153,8.639765000479414,2
52,block_28,-0.10154742797369054,9.353130779494505,2
53,block_29,-0.0019813765876794953,7.854122653770912,2
54,block_30,-0.28430752819649197,9.523772229944347,2
55,block_34,0.2819719974626359,9.550473969521441,2
56,block_6,0.4441825742221427,5.111017582642638,2
57,block_66,0.09480196757839254,10.333850290034995,2
58,block_68,-0.3534112925407631,12.296051897012939,2
59,block_7,-0.01343966215013448,11.020191076197996,2
60,block_73,0.15127211603783486,9.771183851247544,2
61,block_8,-0.1325039395805887,13.721478606178962,2
62,block_9,0.22546763563783623,9.123085692738242,2
63,block_100,0.7770803479161088,2.8756625864716607,4
64,block_101,0.8087608986850359,2.701894541709768,4
65,block_102,-0.1848136881710556,4.810940207742193,4
66,block_103,0.019435179560947313,4.301068235789398,4
67,block_105,0.7135044884101539,2.953957988904609,4
68,block_106,0.5441678051458029,3.156548091762482,4
69,block_107,0.8336120704999569,2.3627266601458095,4
70,block_108,0.4602031512690853,3.471457877272784,4
71,block_109,-1.2494912917564083,5.668390370674744,4
72,block_21,0.7740121919852636,2.84068799867869,4
73,block_32,0.7323981733524942,3.2736650563116325,4
74,block_43,-0.9438671581073121,10.774244200414017,4
75,block_44,0.7615290281028531,3.3548654569805207,4
76,block_45,0.7331302044741617,3.620061293097411,4
77,block_46,0.8710186808044673,2.280786109418515,4
78,block_47,0.7129627547811219,4.170492811599725,4
79,block_50,0.777615784017594,2.6397986064331582,4
80,block_52,0.7086033568775649,3.595658608608539,4
81,block_55,0.7844236950605541,2.603151957076072,4
82,block_56,0.7104151157251364,3.7992776158936263,4
83,block_64,0.6627738821453113,4.484394808072259,4
84,block_78,0.8387424172351279,3.082603897261136,4
85,block_86,-3.315695450388012,7.840431628864326,4
86,block_87,0.796586784357924,3.4287273370530187,4
87,block_90,0.7896950057320526,2.8368574411131626,4
88,block_92,-0.8055125399048104,9.76667237528078,4
89,block_93,-3.033193205333731,12.219822192345829,4
90,block_94,0.49594476863026493,3.3688776940560454,4
91,block_95,0.79540465905267,2.784402915122809,4
92,block_96,0.2883911203365269,3.9486853191722475,4
93,block_98,0.5719290603400922,3.1886877409208276,4
94,block_99,0.7751444889535061,2.678829622707156,4
