,block,r2_score,rmse,Cluster
0,block_110,0.5874947621313102,5.14289974583867,3
1,block_13,0.8366423513248595,3.31640280912204,3
2,block_16,0.8212687218342103,3.5112748814644124,3
3,block_17,0.7369335319801535,5.084102938045122,3
4,block_18,0.5580657349051,4.526608270437514,3
5,block_22,0.8351738391929557,3.5153186454168024,3
6,block_25,0.8225170682362897,3.7382305339402575,3
7,block_26,0.036486817496234836,6.517031116908344,3
8,block_27,0.6494843450773512,4.717898071168034,3
9,block_31,0.5453696229456617,5.152660928052488,3
10,block_33,0.8300413012621538,3.6989885216717364,3
11,block_35,0.8159316231890277,3.455885953799433,3
12,block_36,0.7928009126970077,3.7007256442249212,3
13,block_37,0.7872557145141267,3.797294543490023,3
14,block_38,0.7754018804591707,4.249116414528126,3
15,block_39,0.7107960971532571,4.443643496677669,3
16,block_4,0.8393989901142944,3.876071001747513,3
17,block_41,0.5389534270460328,5.1246904461639105,3
18,block_42,0.8166053057721148,3.4902067278415436,3
19,block_48,0.7991633743739159,3.8515163544674507,3
20,block_49,0.6238944119732586,4.33642201453897,3
21,block_51,0.7833968161698763,3.5300536001078258,3
22,block_54,0.8430235575019492,3.2496848061519774,3
23,block_57,0.8438939315274693,3.3650138692903258,3
24,block_58,0.809673911929878,3.4839325750411816,3
25,block_60,0.8494874375323781,3.586525498794379,3
26,block_61,0.7008387279941894,4.333174689548323,3
27,block_62,0.8322862006691577,3.583670488151309,3
28,block_63,0.8296586799120074,3.803469811500146,3
29,block_65,0.8171902896517254,3.59930959125573,3
30,block_69,0.8258633558994564,3.8962204452151563,3
31,block_70,0.7354389617105848,3.9334875903410906,3
32,block_72,0.7010356538532057,4.3646464463532855,3
33,block_74,0.7166205449859541,4.070704798198264,3
34,block_76,0.7879279236321367,3.6135395116239684,3
35,block_77,0.8026471680753143,3.89580220812611,3
36,block_79,0.7105760636333873,4.344594276505664,3
37,block_80,0.863678914229432,3.025723942881509,3
38,block_81,0.799805571102559,3.7338338855395006,3
39,block_82,0.7325593584125154,3.8614413737343045,3
40,block_84,0.8278914049480641,3.450228133991521,3
41,block_85,0.8126339483202275,3.610644983498167,3
42,block_88,0.5894524214019838,4.72426044268674,3
43,block_89,0.6762714537099525,4.157325991317435,3
44,block_0,-0.7148048152339748,19.26758559310154,1
45,block_1,-0.37023292450273515,18.499401009357438,1
46,block_2,0.03375293199168805,13.331250807204347,1
47,block_10,0.6421225312635888,6.783982510300099,2
48,block_11,0.7305338025857362,5.705056793371452,2
49,block_111,-15.783310466148954,15.289456996303267,2
50,block_12,0.7546870010407769,5.017691667943971,2
51,block_14,0.733048585046199,4.731610889199983,2
52,block_24,0.8073776711242897,4.184807871064785,2
53,block_28,0.5072200721616211,6.255786395892548,2
54,block_29,0.5938059088098696,5.0007443751738005,2
55,block_30,0.2671613368408039,7.194136488348828,2
56,block_34,0.7678829786003856,5.430098765294214,2
57,block_5,0.6547203136960977,6.295346426296498,2
58,block_66,0.7543664312749472,5.383122016233157,2
59,block_68,0.5541665892642442,7.057275884065186,2
60,block_7,0.7294558218347427,5.693892620350707,2
61,block_8,0.5840258382965686,8.315995194528675,2
62,block_9,0.819793699868773,4.400549943972271,2
63,block_100,-0.5420021118180836,7.563211286852963,4
64,block_101,-0.41312065416200316,7.344625715920851,4
65,block_102,-4.821321907485908,10.663891941269261,4
66,block_103,-3.922645199133557,9.636902078422247,4
67,block_105,-0.9622016233095154,7.730671490306715,4
68,block_106,-2.405412361445894,8.627694659734535,4
69,block_107,-0.33492866763849505,6.692395566293568,4
70,block_109,-8.36344472891984,11.564727903608793,4
71,block_21,-0.3427731896612862,6.924403421594352,4
72,block_32,0.06356314845013422,6.1239121783999195,4
73,block_43,0.3022497270851082,5.574979904630821,4
74,block_44,0.540681165654759,4.656016107975487,4
75,block_46,-0.19113237775288616,6.931084077093456,4
76,block_47,0.704740734580828,4.229801800778557,4
77,block_50,-0.17343048431933394,6.063836722961583,4
78,block_52,0.5735930098852556,4.349590147794875,4
79,block_53,0.4646275536484097,5.564355444188497,4
80,block_55,-1.01036139563504,7.9494315962079165,4
81,block_56,0.6515147114240998,4.167785016033438,4
82,block_64,0.7635878361974868,3.7547251232786873,4
83,block_86,0.5426614605967965,4.445833865263185,4
84,block_87,0.5493683285598655,5.103336708568593,4
85,block_90,-0.5764644333017788,7.767026865970101,4
86,block_91,-4.283093325109684,10.085114458462705,4
87,block_92,-2.554688614626364,13.703993580765706,4
88,block_93,-1.977387204160463,11.91991516791246,4
89,block_94,-2.1236750920726397,8.386468274622734,4
90,block_95,-0.5848265995047264,7.749525038108208,4
91,block_96,-3.315157003778535,9.723668549558822,4
92,block_97,-1.453771732141298,8.484672829328211,4
93,block_98,-1.9628719031513513,8.389007002335422,4
94,block_99,-0.5750511065972941,7.0899088156289505,4
