,block,r2_score,rmse,Cluster
0,block_104,-1.2720615974852452,11.23830113386896,3
1,block_110,0.6464811542180767,4.006715404283634,3
2,block_13,0.4202258662627888,6.247797648773694,3
3,block_15,0.512809305613025,5.999014115193629,3
4,block_16,0.3743642168022573,6.5693944496608285,3
5,block_17,0.6674409743464207,5.716312432969375,3
6,block_18,0.2128971370171311,6.041013702425267,3
7,block_19,0.5674707749520339,5.860001957724788,3
8,block_20,0.693217494505875,4.16042480727045,3
9,block_22,0.5863039865533954,5.569193327308476,3
10,block_23,0.10473815617576288,7.677351007039134,3
11,block_25,0.5078914026278162,6.224697624831987,3
12,block_26,-0.3418009552841814,7.690684803909569,3
13,block_27,0.4291943490675665,6.020588935081108,3
14,block_31,0.12210245277523091,7.160185224369772,3
15,block_33,0.543581269049763,6.0616801200297985,3
16,block_35,0.4199383219039693,6.134891666858551,3
17,block_36,0.6500731062984788,4.809297369940983,3
18,block_37,0.30689743003379877,6.8539998112925185,3
19,block_38,0.5301989414449203,6.14543412061417,3
20,block_39,0.43986826566835346,6.184181448759515,3
21,block_4,0.3370349518603907,7.875223795981306,3
22,block_40,0.5637037595814816,5.553366056379998,3
23,block_41,0.12522198552410269,7.059016026353706,3
24,block_42,0.46419384505698613,5.965702842422888,3
25,block_48,0.21109199164251358,7.633495795151967,3
26,block_49,0.4229475346856425,5.371360460039095,3
27,block_51,0.28340001707918494,6.42077244322747,3
28,block_54,0.047732533271525046,8.003933510486776,3
29,block_57,-1.198026523633772,6.902028692702596,3
30,block_58,0.771807065440945,3.8147991529685696,3
31,block_59,0.8818690787838046,2.6526223710563195,3
32,block_60,0.7029746296832526,5.038303451460407,3
33,block_61,-4.354703470712084,11.957112725025336,3
34,block_62,0.8725924586201467,3.123498049566508,3
35,block_63,0.8918819242405405,3.0301848542991707,3
36,block_65,0.8493828743083187,3.2670572973523835,3
37,block_67,0.7365548741846812,4.90440001600604,3
38,block_69,0.7390221155986706,4.769801312529907,3
39,block_70,-0.6676488182311375,9.647069513088837,3
40,block_71,0.2697644900586973,6.104970003173366,3
41,block_72,-0.25085378582051376,8.927762826887308,3
42,block_74,-0.6181329898247303,13.719507173383844,3
43,block_75,-3.688655453485479,15.72471795753867,3
44,block_76,-2.7237918054401336,15.142018047794005,3
45,block_77,0.7041458776191291,3.411207407781823,3
46,block_79,0.8090638511930451,3.5287921775749274,3
47,block_80,0.6854757710319501,4.595945148333362,3
48,block_81,0.5843477432339682,5.3801461135066875,3
49,block_82,0.7640607596937582,3.6269020853102365,3
50,block_83,0.7492133935160855,4.427949223329777,3
51,block_84,-1.3508520183671253,12.769895996865385,3
52,block_85,-1.6271814593636633,13.520239076936818,3
53,block_88,0.37382793171191453,5.8344366649182,3
54,block_89,-0.6325536966633438,5.20312690834656,3
55,block_0,-0.6885975848653041,19.11978620133955,1
56,block_1,-0.30854664261619646,18.07819518531451,1
57,block_2,0.029379690405752057,13.36138541964993,1
58,block_10,0.8351358954006716,4.604480045976119,2
59,block_11,0.8360886515227706,4.449511533317882,2
60,block_111,-3.598292107035892,8.002976207214397,2
