,block,r2_score,rmse,Cluster
0,block_104,0.6211594850490991,4.589008091582264,3
1,block_110,0.6233632858274731,4.914220630737104,3
2,block_13,0.8178894036348295,3.501588810423567,3
3,block_15,0.7958144380590573,3.8836752413734965,3
4,block_16,0.7884291609607245,3.820255884049603,3
5,block_17,0.7644962819437191,4.810392040136484,3
6,block_18,0.5280288764214467,4.6779092121090855,3
7,block_19,0.8559029614143682,3.382342325818943,3
8,block_20,0.6987743740514974,4.122572861584476,3
9,block_22,0.8360292417474479,3.506185010065852,3
10,block_23,0.6192649695980579,5.006656289286096,3
11,block_25,0.8176476239567129,3.789164822079018,3
12,block_26,-0.046318667414350534,6.791300555278329,3
13,block_27,0.6150999749216708,4.9438901656267955,3
14,block_31,0.5239006536975148,5.272919386959229,3
15,block_33,0.8217667469041724,3.7879623342770006,3
16,block_35,0.7880044698293727,3.7087978529341195,3
17,block_36,0.7903694891605023,3.722375806777897,3
18,block_37,0.7555025072297916,4.070825989424642,3
19,block_38,0.7684219118916933,4.314637402371593,3
20,block_39,0.7172156223367654,4.394048448497242,3
21,block_4,0.8157845662433267,4.151266305237612,3
22,block_40,0.8092773356187964,3.671696019401044,3
23,block_41,0.506432368460269,5.302352222205015,3
24,block_42,0.8002525421013711,3.6424902530920162,3
25,block_48,0.7741025228278346,4.084754677160679,3
26,block_49,0.5778503457672557,4.594199671721976,3
27,block_51,0.7417686060317947,3.8543699925880635,3
28,block_54,0.8423767931819086,3.2563724966545817,3
29,block_57,0.8539230258120255,3.255126327455357,3
30,block_58,0.7690933496952551,3.8374152877813374,3
31,block_59,0.640814153546336,4.625442006587495,3
32,block_60,0.8416475494427692,3.6787471811493537,3
33,block_61,0.6544978478131223,4.656706760694304,3
34,block_62,0.7808897552891088,4.096142091312142,3
35,block_63,0.780277589927835,4.319735408347808,3
36,block_65,0.7719225355275903,4.020321288215911,3
37,block_67,0.8241180504046943,4.007296128056609,3
38,block_69,0.8208050090037247,3.9524043491347522,3
39,block_70,0.671040683591702,4.386174810527826,3
40,block_71,0.8133144337963991,3.7314864251182374,3
41,block_72,0.731051010842894,4.139752040384275,3
42,block_74,0.6829513259179034,4.3057459262412525,3
43,block_75,0.7189034222794757,3.8502283175260343,3
44,block_76,0.7434879372837131,3.9741564512678242,3
45,block_77,0.7590885417802009,4.304314006195841,3
46,block_79,0.6471275529390916,4.79723371611822,3
47,block_80,0.8267724050989782,3.4108005274492808,3
48,block_81,0.7688236217016717,4.012367710308737,3
49,block_82,0.6959424404523601,4.117310743825665,3
50,block_83,0.8286369803168582,3.6602353906396523,3
51,block_84,0.7873833064710578,3.8348220201617877,3
52,block_85,0.7668531257168536,4.0276723602342415,3
53,block_88,0.5350008828569142,5.027801791547677,3
54,block_89,0.6211246926688022,4.497505807220679,3
55,block_0,0.8903978137476746,4.871128185687755,1
56,block_1,0.8258103112965129,6.5958639460514865,1
57,block_2,0.6655921760889841,7.8426894681282455,1
58,block_10,0.5643768533306601,7.484676170131157,2
59,block_11,0.4151234709248024,8.405042659428664,2
60,block_111,-48.752625051466126,26.32456767263457,2
61,block_12,0.21649303244770068,8.967370660486676,2
62,block_14,-0.3148145206234787,10.500866926986996,2
63,block_24,-0.22608123590517692,10.558004242938509,2
64,block_28,-0.7883472247598149,11.917394858311662,2
65,block_29,-1.4050933204295712,12.168409611191908,2
66,block_3,0.0063843480288344745,9.938301907577117,2
67,block_30,-1.4329156440966178,13.108047656571753,2
68,block_34,0.21318343469768664,9.997490077254371,2
69,block_5,0.4196400788723206,8.161741322379875,2
70,block_6,0.5686248236583342,7.382386336152019,2
71,block_66,0.2552587513381259,9.373311912570113,2
72,block_68,0.37613611938638636,8.348255086410335,2
73,block_7,0.4181691406854289,8.350039926778262,2
74,block_73,-0.6291308077229099,13.537576624980918,2
75,block_8,0.7008014112024563,7.05278788521305,2
76,block_9,0.0657973827834295,10.019418318935717,2
77,block_100,0.49346941730592164,4.334775246864499,4
78,block_101,0.5868209639331624,3.97145079311176,4
79,block_102,-1.5406333118726656,7.044917666910152,4
80,block_103,-1.0698514758433646,6.248960367445471,4
81,block_105,0.362240746012925,4.40731191727993,4
82,block_106,-0.17278018512928828,5.063120021373441,4
83,block_107,0.6410067804796598,3.470529145491655,4
84,block_108,-0.2357696474034432,5.2524930865993085,4
85,block_109,-3.4268248786295654,7.951769168617007,4
86,block_21,0.5595299483436009,3.9658768506951416,4
87,block_32,0.6714766652007904,3.6272109780629953,4
88,block_43,0.8003631320080979,2.9820414285281975,4
89,block_44,0.8629902131798635,2.542922604970985,4
90,block_45,0.8504712883748134,2.7097455271503246,4
91,block_46,0.6810942583128182,3.5863471119471573,4
92,block_47,0.8498760469932853,3.0160827035559343,4
93,block_50,0.6909351458604558,3.1120289343382908,4
94,block_52,0.8727982996703524,2.3756509825294705,4
95,block_53,0.8519324496285455,2.9262862199873445,4
96,block_55,0.3578184586081645,4.492912055182776,4
97,block_56,0.863519209602069,2.6082477953761307,4
98,block_64,0.8570490581235146,2.9196900524186034,4
99,block_78,0.8633872922223694,2.837286555471723,4
100,block_86,0.8373337605533212,2.6514475641424653,4
101,block_87,0.8490746713042192,2.9534147026669992,4
102,block_90,0.5072770363842456,4.3422429675566105,4
103,block_91,-1.2861548322554914,6.6342145168837385,4
104,block_92,-1.344546900038528,11.129504445891405,4
105,block_93,-0.8908465293928296,9.49912595275039,4
106,block_94,-0.12747838438388426,5.038488752004365,4
107,block_95,0.5261172071278566,4.237597264589007,4
108,block_96,-0.7195531668207635,6.1381804249108205,4
109,block_97,0.15354440854382467,4.983335308481014,4
110,block_98,-0.022165814188424227,4.927365690400999,4
111,block_99,0.5332301671347799,3.8596214791000287,4
