,0
0,block_23
1,block_73
2,block_20
3,block_40
4,block_40
5,block_59
6,block_67
7,block_78
8,block_15
9,block_19
10,block_3
11,block_104
12,block_6
13,block_83
14,block_71
15,block_75
16,block_108
17,block_45
